id,carnegie_basic,carnegie_undergrad,carnegie_size_setting,minority_serving_historically_black,minority_serving_predominantly_black,minority_serving_annh,minority_serving_tribal,minority_serving_aanipi,minority_serving_hispanic,minority_serving_nant,men_only,women_only,religious_affiliation,admission_rate_overall,admission_rate_by_ope_id,attendance_academic_year,attendance_program_year,tuition_in_state,tuition_out_of_state,tuition_program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt
101480,18,13,13,0,0,0,0,0,0,0,0,0,,0.5402,0.540216486,20890,,8166,15582,,6700,7528,6960,0.7206,0.3785,0.3721,
101499,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,11677,,4088,7598,,803,4302,6173,0.5893,0.513,,0.2638
101505,8,1,3,0,0,0,0,0,0,0,0,0,,,,13017,,4500,8070,,3130,5235,6451,0.3363,0.2803,,0.0876
101514,2,1,4,0,0,0,0,0,0,0,0,0,,,,9907,,4520,8090,,3451,4803,6479,0.3067,0.331,,0.2542
101541,21,9,7,0,0,0,0,0,0,0,0,1,54,0.507,0.507042254,30306,,17896,17896,,8067,11512,5932,0.4783,0.5644,0.32,
101569,4,2,3,1,0,0,0,0,0,0,0,0,,,,13685,,4440,8010,,1775,6525,6035,0.4313,0.6717,,0.1433
101587,18,11,13,0,1,0,0,0,0,0,0,0,,0.2821,0.282079047,19671,,9204,16818,,8192,8295,6711,0.5667,0.5308,0.3324,
101602,5,2,2,0,0,0,0,0,0,0,0,0,,,,13663,,4440,8010,,1666,6067,6303,0.6467,0.5178,,0.3475
101648,1,4,1,0,0,0,0,0,0,0,0,0,,0.5587,0.558685446,18568,,9418,15418,,2364,4098,4647,0.8148,0.4118,,0.3442
101675,22,11,11,1,0,0,0,0,0,0,0,0,55,,,22346,,11794,11794,,5300,4397,4444,0.7077,0.8484,0.213,
101693,22,13,11,0,0,0,0,0,0,0,0,0,75,0.4702,0.47019424,35256,,22210,22210,,9537,6175,4938,1,0.4666,0.4476,
101709,19,13,11,0,0,0,0,0,0,0,0,0,,0.6445,0.644547325,23938,,12400,25030,,8422,11010,7451,0.6709,0.3881,0.503,
101736,5,2,3,0,0,0,0,0,0,0,0,0,,,,11386,,4411,7921,,2422,5545,4895,0.5419,0.4622,,0.1577
101879,18,13,13,0,0,0,0,0,0,0,0,0,,0.7022,0.702191988,18223,,8480,15128,,6997,7761,7567,1,0.4034,0.4454,
101897,5,2,2,0,0,0,0,0,0,0,0,0,,,,8350,,4440,8010,,2032,5302,4898,0.3631,0.4979,,0.3221
101912,22,10,11,1,0,0,0,0,0,0,0,0,95,0.4707,0.470683381,35577,,16720,16720,,12014,6587,4902,0.7748,0.5268,0.4715,
101949,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,11265,,4380,7890,,1467,5158,6213,0.7067,0.5029,,0.3683
101994,8,2,1,0,0,0,0,0,0,0,0,0,,,,8804,,4500,8070,,1856,7806,6177,0.6897,0.5419,,0.2658
102030,8,2,3,1,0,0,0,0,0,0,0,0,,,,10349,,4440,8010,,1912,5837,6258,0.4863,0.5776,,0.1467
102049,17,14,14,0,0,0,0,0,0,0,0,0,54,0.8319,0.831932773,44896,,30490,30490,,18867,15086,8580,0.9922,0.114,0.7581,
102058,24,7,6,1,1,0,0,0,0,0,0,0,54,,,,,7115,7115,,13530,6158,2900,1,0.9615,0.0179,
102067,7,2,3,1,0,0,0,0,0,0,0,0,,,,11414,,4189,7759,,2496,4277,4690,0.445,0.4474,,0.1586
102076,2,2,2,0,0,0,0,0,0,0,0,0,,,,10704,,4500,8070,,2530,3167,6934,0.2786,0.5011,,0.4272
102094,16,13,16,0,0,0,0,0,0,0,0,0,,0.8208,0.820786707,18857,,7812,15324,,9198,9082,7203,0.6234,0.3723,0.4007,
102234,21,12,11,0,0,0,0,0,0,0,0,0,30,0.4568,0.456811798,50787,,37584,37584,,12554,7604,6643,0.6619,0.2998,0.5254,
102270,21,15,8,1,0,0,0,0,0,0,0,0,66,0.4812,0.481163381,20205,,10792,10792,,8697,4479,4641,0.6346,0.7643,0.2822,
102298,21,11,8,1,0,0,0,0,0,0,0,0,76,,,22314,,12340,12340,,8182,5367,5471,0.6176,0.9259,0.498,
102313,7,2,2,1,0,0,0,0,0,0,0,0,,,,11798,,4350,7920,,2590,7630,5811,0.4656,0.46,,0.2926
102368,18,7,15,0,0,0,0,0,0,0,0,0,,0.8812,0.881227094,18585,,8692,16276,,9357,6599,6444,0.3774,0.4011,0.39,
102377,19,10,14,1,0,0,0,0,0,0,0,0,,0.5032,0.503193431,36673,,22170,22170,,15268,12490,4753,1,0.0568,0.5193,
102395,32,5,6,0,0,0,0,0,0,0,0,0,,,,,,,,,15980,5126,5732,0.24,0.3333,,
102429,8,2,3,0,0,0,0,0,0,0,0,0,,,,13164,,4766,8574,,2122,6259,6476,0.3253,0.4764,,0.1902
102553,18,5,15,0,0,0,0,0,0,0,0,0,,0.8283,0.828310011,19126,,6690,19494,,6834,11692,9248,0.4735,0.2161,0.2431,
102580,24,10,8,0,0,0,0,0,0,0,0,0,88,,,19560,,9350,9350,,8099,5104,3403,,0.3,0.5714,
102614,16,5,13,0,0,1,0,0,0,0,0,0,,0.767,0.767014102,17168,,6262,19183,,7960,16935,9617,0.6036,0.2037,0.3018,
102632,19,5,9,0,0,1,0,0,0,0,0,0,,0.7105,0.710467706,19176,,6828,19533,,7411,14891,8395,0.6279,0.1769,0.2408,
102669,20,7,7,0,0,0,0,0,0,1,0,0,71,0.86,0.86,32489,,20760,20760,,13689,11119,5833,0.4247,0.3054,0.5294,
102711,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,10907,,,3490,5547,22642,,,0.0445,,0.901
102845,23,10,9,0,0,0,0,0,0,0,0,0,,,,35332,,21908,21908,,6305,1911,4612,0.3188,0.5872,0.4749,
103501,13,4,1,0,0,0,0,0,0,0,0,0,,,,,22978,,,15340,10727,4495,4224,0.2121,0.7017,,0.6903
103741,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,18323,,,19200,8195,8397,,,0.7486,,0.5283
103778,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,0.778069173,,,,,,42115,27295,17289,0.6944,,,
103811,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,19888,,,9570,9428,3477,,,0.544,,0.6582
103893,10,4,2,0,0,0,0,0,0,0,0,0,,0.7062,0.525612472,,23419,,,14322,12642,1541,3939,0.7333,0.7019,,0.649
103909,10,4,1,0,0,0,0,0,0,0,0,0,,0.553,0.525612472,,23430,,,14322,14748,2535,4942,0.25,0.6369,,0.6967
103927,-2,-2,-2,0,0,0,0,0,0,0,0,0,,0.9451,0.525612472,,23000,,,14322,12952,1375,3514,,0.7742,,0.7264
103945,26,10,6,0,0,1,0,0,0,1,0,0,,,,31920,,16968,16968,,18729,5854,7012,,0.7822,0.2893,
103954,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,16184,,,14500,5362,1043,,,0.6692,,0.8182
103963,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,34050,,,19220,17041,5788,,,0.7958,,0.6085
104090,26,5,6,0,0,0,0,0,0,0,0,0,,,,,35472,,,85000,23787,7600,5874,1,0.5653,0.2565,
104151,15,15,16,0,0,0,0,0,0,0,0,0,,0.8415,0.778069173,24353,,10792,27372,,18995,12311,11348,0.789,0.2928,0.6335,
104160,1,1,3,0,0,0,0,0,1,0,0,0,,,,14774,,2660,9650,,807,5257,6698,0.3547,0.5125,,0.1944
104179,15,11,15,0,0,0,0,0,1,0,0,0,,0.8358,0.835783147,26080,,11877,35307,,15765,12211,10928,0.9167,0.2935,0.6361,
104188,30,11,6,0,0,0,0,0,0,0,0,0,,,,31146,,23044,23044,,16169,3940,5549,1,0.9091,0.5833,
104346,2,1,3,0,0,0,0,0,1,0,0,0,,,,10643,,2580,11100,,1403,8980,6344,1,0.4292,,0.153
104391,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,14074,,,12343,11430,3373,,,0.6264,,0.6333
104425,9,1,3,0,0,0,0,0,0,0,0,0,,,,10987,,1968,6240,,829,2418,6411,0.3333,0.3549,,0.2514
104434,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,18196,,,19200,8467,9402,,,0.7069,,0.6364
104443,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,17569,,,19200,8210,9003,,,0.7547,,0.4074
104504,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,22757,,,11640,5581,1659,,,0.7964,,0.8393
104568,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,17138,,,16000,7918,4150,,,0.5741,,0.6913
104577,6,1,3,0,0,0,0,0,0,0,0,0,,,,13128,,2550,11250,,894,5484,8063,0.2849,0.1918,,0.3825
104586,22,14,10,0,0,0,0,0,0,0,0,0,,0.7652,0.737117347,49912,,34662,34662,,26090,12979,9069,0.71,0.2411,0.596,
104665,30,0,18,0,0,0,0,0,0,0,0,0,,,,,,,,,46688,32324,1250,,,,
104708,2,1,5,0,0,0,0,0,1,0,0,0,,,,11472,,2094,7878,,1824,4877,7362,1,0.3388,,0.1827
104717,17,5,15,0,0,0,0,0,0,0,0,0,,0.6692,0.66921244,31051,,17050,17050,,10977,1997,6482,0.0709,0.445,0.4075,
105145,8,1,3,0,0,0,0,0,1,0,0,0,,,,12967,,2094,7878,,2780,7110,6934,1,0.3511,,0.1556
105154,2,1,5,0,0,0,0,0,1,0,0,0,,,,12302,,2094,7878,,2304,4792,7647,1,0.2905,,0.1585
105206,5,1,2,0,0,0,0,0,0,0,0,0,,,,12394,,2112,6972,,2066,4533,6883,0.2767,0.3823,,0.1395
105215,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,21464,,,27100,10637,3714,,,0.4205,,0.6889
105297,33,7,9,0,0,0,1,0,0,0,0,0,,,,11187,,1410,1410,,305,9289,5379,1,0.5745,0.1327,
105330,16,11,16,0,0,0,0,0,0,0,0,0,,0.8085,0.808461017,26314,,11059,24841,,8015,7402,8239,0.6633,0.3462,0.5529,
105349,9,1,2,0,0,0,0,0,0,1,0,0,,,,13336,,1808,8360,,1336,6597,6057,0.4625,0.2441,,0.1528
105367,20,7,6,0,0,0,0,0,0,0,0,0,52,,0.804504505,,,,,,5905,1631,6714,0.8889,0.5333,,
105428,5,1,4,0,0,0,0,0,1,0,0,0,,,,11788,,2094,7878,,1692,5090,7432,1,0.3863,,0.1792
105482,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,20747,,,11640,7136,1985,,,0.6477,,0.84
105525,1,1,5,0,0,0,0,0,1,0,0,0,,,,8821,,2118,7434,,2098,4516,5439,0.2719,0.3004,,0.1605
105534,26,10,9,0,0,0,0,0,0,0,0,0,,,,,25397,,,12992,6438,2591,5624,0.75,0.4836,0.686,
105543,10,4,2,0,0,0,0,0,0,0,0,0,,,,,22266,,,12992,7112,4251,6063,0.4118,0.6461,,0.7575
105589,20,13,7,0,0,0,0,0,0,0,0,0,,0.9526,0.952618454,38882,,30501,30501,,18560,7654,4936,0.7258,0.4642,0.4355,
105659,11,4,2,0,0,0,0,0,0,0,0,0,,,,,26842,,,19350,11726,1534,4099,0.75,0.6356,,0.649
105668,9,1,4,0,0,0,0,0,0,0,0,0,,,,10784,,2094,7878,,2611,1966,6813,1,0.143,,0.1416
105677,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,24075,,,10950,11114,13686,,,0.2881,,0.7143
105701,-2,-2,-2,,,,,,NU,,0,0,,,,,14108,,,14410,9404,2930,,,0.5,,0.6087
105747,3,1,3,0,0,0,0,0,0,0,0,0,,,,11892,,2094,7878,,2462,6566,7309,1,0.179,,0.1889
105792,2,1,3,0,0,0,0,0,1,0,0,0,,,,11292,,2094,7878,,1284,5894,7381,1,0.4243,,0.2282
105899,22,11,7,0,0,0,0,0,0,0,0,0,88,0.6444,0.644407346,37675,,24958,24958,,11319,4383,5187,0.2159,0.3439,0.4694,
106041,11,4,2,0,0,0,0,0,0,0,0,0,,,,,24484,,,44850,13903,3189,5179,,0.4503,,0.6383
106102,29,0,6,0,0,0,0,0,0,0,0,0,,,,11330,,6000,6000,,5919,1322,5923,0.0652,0.1018,0.0739,
106111,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,18142,,,19200,8520,11245,,,0.8421,,0.377
106148,6,1,3,0,0,0,0,0,0,0,0,0,,,,11524,,2280,8976,,2230,6478,7146,0.5272,0.2932,,0.2478
106245,16,9,12,0,0,0,0,0,0,0,0,0,,0.7463,0.746325273,21377,,8998,21208,,5808,7563,7425,0.9774,0.3703,0.3199,
106263,25,7,10,0,0,0,0,0,0,0,0,0,,,,,,,,,16752,47821,9546,0.7933,0.3612,,
106306,23,11,8,1,0,0,0,0,0,0,0,0,54,,,22512,,8760,8760,,8028,3966,4340,0.5909,0.8098,0.1933,
106315,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,24849,,,18690,4993,828,,,0.6456,,1
106324,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,14522,,,14400,8432,3768,,,0.6486,,0.6
106342,21,14,8,0,0,0,0,0,0,0,0,0,66,0.6418,0.641818182,36824,,27340,27340,,9836,10578,6580,1,0.358,0.5226,
106351,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,21288,,,18400,6730,2225,,,0.4146,,0.6818
106360,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,15610,,,13045,7586,3704,,,0.7679,,0.3478
106397,15,15,16,0,0,0,0,0,0,0,0,0,,0.6596,0.659636196,22122,,9062,24308,,9281,10173,9671,0.869,0.2043,0.6152,
106412,22,10,11,1,0,0,0,0,0,0,0,0,,0.4669,0.466879126,16264,,7408,13738,,3002,7366,5851,0.8326,0.7071,0.2855,
106449,5,2,3,0,0,0,0,0,0,0,0,0,,,,13260,,3570,5730,,2039,3821,5095,0.5286,0.3287,,0.3273
106458,16,9,13,0,0,0,0,0,0,0,0,0,,0.6602,0.660214675,20952,,8478,14778,,3824,5276,7077,0.7339,0.412,0.475,
106467,18,10,13,0,0,0,0,0,0,0,0,0,,0.9475,0.947463044,18143,,7104,12528,,4410,5165,6637,1,0.3931,0.39,
106485,19,10,10,0,0,0,0,0,0,0,0,0,,,,17690,,7462,13312,,4008,7703,5685,1,0.5004,0.2323,
106494,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,14775,,,13045,7970,3938,,,0.6729,,0.4894
106546,10,4,2,0,0,0,0,0,0,0,0,0,54,0.6875,0.6875,21677,,9867,9867,,4345,9328,6372,0.6296,0.7867,,0.4074
106625,4,2,2,0,0,0,0,0,0,0,0,0,,,,12519,,3120,5448,,1822,6748,4918,0.6321,0.5092,,0.2685
106704,17,13,13,0,0,0,0,0,0,0,0,0,,0.8995,0.899477807,20702,,8524,15047,,5443,7574,6974,0.7533,0.397,0.4124,
106713,22,11,7,0,0,0,0,0,0,0,0,0,54,0.6755,0.675461741,24453,,15750,15750,,9353,3630,5356,0.3077,0.449,0.2194,
106795,6,1,2,0,0,0,0,0,1,0,0,0,,,,10186,,3210,4080,,2436,7077,5018,0.589,0.2848,,0.413
106810,22,10,8,0,0,0,0,0,0,0,0,0,74,,,20416,,12250,12250,,7733,3560,4373,0.4865,0.4444,0.2436,
106829,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,9540,,1350,1350,,458,13146,,,0.7037,,0.4262
106883,3,1,2,0,0,0,0,0,0,0,0,0,,,,10806,,2850,3660,,2166,4928,5201,0.4595,0.336,,0.2574
106892,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,15240,,,10700,4617,1577,,,0.8619,,0.5958
106908,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,18964,,,15500,9918,3868,,,0.693,,0.575
106980,7,2,2,0,0,0,0,0,0,0,0,0,,,,13301,,3450,4950,,2195,7351,5217,1,0.5927,,0.272
106999,7,2,2,0,0,0,0,0,0,0,0,0,,,,10928,,2466,4218,,1221,5631,4315,0.4111,0.4955,,0.4978
107044,17,14,14,0,0,0,0,0,0,0,0,0,74,0.7212,0.72120613,28754,,19385,19385,,13633,8962,7513,0.7868,0.2641,0.6663,
107071,19,13,11,0,0,0,0,0,0,0,0,0,,0.7968,0.796789185,20913,,8530,10180,,3788,7018,5971,0.951,0.469,0.3325,
107080,21,14,11,0,0,0,0,0,0,0,0,0,71,0.798,0.797952218,58040,,44070,44070,,12234,12467,7602,1,0.2327,0.7453,
107099,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,13642,,,13500,7550,3488,,,0.9818,,0.6667
107123,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,,,,,4436,5735,6686,,0.5333,,
107141,19,15,11,0,0,0,0,0,0,0,0,0,,0.7579,0.757929883,37814,,26144,26144,,11232,8559,6750,0.9701,0.2747,0.7306,
107220,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,15656,,,13695,12918,4236,,,0.781,,0.5805
107293,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,17015,,,13500,11843,6619,,,0.701,,0.5429
107318,3,1,2,0,1,0,0,0,0,0,0,0,,,,14830,,2674,4114,,1999,4927,4316,1,0.3883,,0.1405
107327,9,1,2,0,0,0,0,0,0,0,0,0,,,,11124,,2290,3970,,1375,8488,5173,1,0.3884,,0.2919
107442,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,20157,,,15825,4108,1752,,,0.7397,,0.675
107460,4,2,2,0,0,0,0,0,0,0,0,0,,,,9853,,2208,4560,,1118,6477,5232,0.5333,0.5626,,0.3343
107488,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,7851,,2321,2321,,2732,12175,,,0.68,,0.5714
107512,22,12,11,0,0,0,0,0,0,0,0,0,75,0.7094,0.709406495,35685,,25870,25870,,10567,10653,6397,1,0.2726,0.6397,
107521,9,1,2,0,0,0,0,0,0,0,0,0,,,,11662,,3680,6530,,2280,7192,4595,0.3231,0.3358,,0.2897
107549,8,2,2,0,0,0,0,0,0,0,0,0,,,,10866,,2932,5284,,1834,4333,4619,0.3827,0.5873,,0.3122
107558,22,10,8,0,0,0,0,0,0,0,0,0,66,0.8915,0.891457286,35426,,23750,23750,,9863,9405,6522,0.75,0.4242,0.5054,
107585,4,2,2,0,0,0,0,0,0,0,0,0,,0.7506,0.750560119,9563,,3092,4004,,2278,4021,4937,1,0.5278,,0.28
107600,22,10,8,1,0,0,0,0,0,0,0,0,71,,,25499,,12714,12714,,8269,4963,5321,1,0.8118,0.3032,
107619,6,1,2,0,0,0,0,0,0,0,0,0,,,,10419,,2810,4610,,895,7587,4777,0.625,0.3406,,0.3311
107637,1,2,2,0,1,0,0,0,0,0,0,0,,,,12380,,3460,6280,,2130,6352,4866,0.534,0.6628,,0.1658
107655,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,11555,,,14350,13003,4580,,,0.8108,,0.8462
107664,1,2,3,0,0,0,0,0,0,0,0,0,,,,14794,,5170,6340,,2791,5252,4870,1,0.5541,,0.183
107725,4,2,2,0,0,0,0,0,0,0,0,0,,,,11775,,2740,5260,,1285,6041,4400,0.4737,0.58,,0.3229
107743,6,1,2,0,0,0,0,0,0,0,0,0,,,,10599,,2688,5640,,1453,5651,4659,0.375,0.373,,0.2167
107789,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,23249,,,14250,6370,3715,,,0.5439,,0.697
107831,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,23962,,,14900,9039,774,,,0.687,,0.625
107840,2,3,1,1,0,0,0,0,0,0,0,0,51,,,21444,,4904,4904,,6562,4364,3125,0.2973,0.8701,,0.0833
107877,21,13,8,0,0,0,0,0,0,0,0,0,75,0.6241,0.62406015,28274,,17320,17320,,7961,7907,5487,1,0.4627,0.4222,
107974,5,2,2,0,0,0,0,0,0,0,0,0,,,,11306,,2628,4764,,2935,8477,4897,1,0.5202,,0.2086
107983,18,12,14,0,0,0,0,0,0,0,0,0,,0.6945,0.694506104,21252,,8346,12156,,5361,5303,6841,0.6429,0.5017,0.3604,
107992,9,2,2,0,0,0,0,0,0,0,0,0,,,,17339,,4810,6250,,2152,8232,4271,1,0.5115,,0.5227
108065,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,13337,,,13712,8162,783,,,0.913,,0.7857
108092,22,11,12,0,0,0,0,0,0,0,0,0,,,,16554,,5577,12650,,3239,5928,6848,0.6432,0.4492,0.2982,
108232,18,5,12,0,0,0,0,0,0,0,0,0,,,,38666,,21252,21252,,27625,13555,8341,0.2088,0.3618,0.3973,
108269,26,0,18,0,0,0,0,0,0,0,0,0,,,,,,,,,10200,5945,,,,,
108348,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,28685,,,15300,39220,10311,,,0.9333,,0.7667
108649,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,18124,,,19200,6759,4036,,,0.5094,,0.7846
108667,2,1,3,0,0,0,0,1,0,0,0,0,,,,15308,,1230,7110,,1287,4959,8216,0.4205,0.1852,,0.3122
108807,2,1,4,0,0,0,0,0,1,0,0,0,,,,10348,,1352,6784,,654,5767,6756,0.2774,0.2102,,0.3143
108852,12,4,1,0,0,0,0,0,0,0,0,0,,0.7859,0.788372093,48240,,34170,34170,,25137,8469,8120,0.16,0.3003,,0.6918
108861,24,0,18,0,0,0,0,0,0,0,0,0,52,,,,,,,,10841,25315,5395,0.875,,,
108870,30,0,18,0,0,0,0,0,0,0,0,0,,,,,,,,,29205,7816,7956,0.1154,,,
108977,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,15743,,,16100,6233,1644,,,0.6378,,0.75
109040,10,4,2,0,0,0,0,0,0,0,0,0,,,,,25723,,,18200,14292,5860,5710,,0.6284,,0.7006
109086,30,0,6,0,0,0,0,0,0,0,0,0,,,,48677,,28705,28705,,28069,15728,5176,1,0.0526,,
109208,4,1,5,0,0,0,0,1,0,0,0,0,,,,12098,,1104,8208,,480,3904,8475,0.3858,0.2399,,0.2848
109350,14,5,12,0,0,0,0,0,1,0,0,0,,,,9926,,1124,6500,,467,4683,8781,0.203,0.4564,0.2381,
109651,30,13,9,0,0,0,0,0,0,0,0,0,,0.7036,0.703567036,62312,,42008,42008,,33813,20546,7584,0.2379,0.3255,0.6759,
109721,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,25936,,,17000,19693,4957,,,0.7365,,0.6366
109730,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,26501,,,17000,13544,3437,,,0.8945,,0.6134
109785,16,13,14,0,0,0,0,1,1,0,0,0,88,0.6012,0.601185815,49911,,37506,37506,,18252,9028,8201,0.3264,0.3374,0.6681,
109819,14,5,15,0,0,0,0,0,1,0,0,0,,,,12027,,1325,7261,,536,4748,9433,0.54,0.3418,0.2277,
109907,7,2,2,0,0,0,0,0,0,0,0,0,,,,14307,,1104,6720,,399,3501,8516,0.2756,0.4962,,0.1558
109934,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,25670,,,19044,10031,3825,,,0.7176,,0.726
110060,24,10,6,0,0,0,0,1,0,0,0,0,99,,,20343,,7898,7898,,5702,941,,,0.3993,0.1538,
110097,17,13,14,0,0,0,0,0,0,0,0,0,88,0.7198,0.719816607,51154,,38448,38448,,22311,11588,9299,1,0.3013,0.7335,
110194,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,30676,,,16295,11256,4467,,,0.7468,,0.8322
