zip,type,city,state,county,timezone,world_region,country,latitude,longitude,irs_estimated_population_2015
970,PO BOX,Guaynabo,38,,America/Puerto_Rico,,US,18.38,-66.11,0
971,STANDARD,Guaynabo,38,Guaynabo Municipio,America/Puerto_Rico,,US,18.32,-66.12,0
975,UNIQUE,San Juan,38,San Juan,America/Puerto_Rico,,US,18.4,-66.06,0
976,STANDARD,Trujillo Alto,38,Trujillo Alto Municipio,America/Puerto_Rico,,US,18.36,-66.01,0
977,PO BOX,Trujillo Alto,38,,America/Puerto_Rico,,US,18.36,-66.01,0
978,PO BOX,Saint Just,38,San Juan,America/Puerto_Rico,,US,18.37,-66.01,0
979,STANDARD,Carolina,38,Carolina Municipio,America/Puerto_Rico,,US,18.44,-66.03,0
981,PO BOX,Carolina,38,Carolina,America/Puerto_Rico,,US,18.4,-65.98,0
982,STANDARD,Carolina,38,Carolina Municipio,America/Puerto_Rico,,US,18.41,-65.99,0
983,STANDARD,Carolina,38,Carolina Municipio,America/Puerto_Rico,,US,18.4,-65.98,0
984,PO BOX,Carolina,38,Carolina,America/Puerto_Rico,,US,18.4,-65.98,0
985,STANDARD,Carolina,38,Carolina Municipio,America/Puerto_Rico,,US,18.41,-65.95,0
986,PO BOX,Carolina,38,Carolina,America/Puerto_Rico,,US,18.4,-65.98,0
987,STANDARD,Carolina,38,Carolina Municipio,America/Puerto_Rico,,US,18.34,-65.94,0
988,PO BOX,Carolina,38,Carolina,America/Puerto_Rico,,US,18.4,-65.98,0
1001,STANDARD,Agawam,40,Hampden County,America/New_York,,US,42.06,-72.61,15220
1002,STANDARD,Amherst,40,Hampshire County,America/New_York,,US,42.37,-72.52,16570
1003,PO BOX,Amherst,40,Hampshire County,America/New_York,,US,42.39,-72.52,184
1004,PO BOX,Amherst,40,Hampshire County,America/New_York,,US,42.37,-72.52,794
1005,STANDARD,Barre,40,Worcester County,America/New_York,,US,42.42,-72.1,4270
1007,STANDARD,Belchertown,40,Hampshire County,America/New_York,,US,42.27,-72.4,14180
1008,STANDARD,Blandford,40,Hampden County,America/New_York,,US,42.18,-72.93,1140
1009,PO BOX,Bondsville,40,Hampden County,America/New_York,,US,42.2,-72.34,1238
1010,STANDARD,Brimfield,40,Hampden County,America/New_York,,US,42.11,-72.2,3420
1011,STANDARD,Chester,40,Hampden County,America/New_York,,US,42.28,-72.98,1090
1012,STANDARD,Chesterfield,40,Hampshire County,America/New_York,,US,42.4,-72.85,610
1013,STANDARD,Chicopee,40,Hampden County,America/New_York,,US,42.15,-72.6,18880
1014,PO BOX,Chicopee,40,Hampden County,America/New_York,,US,42.17,-72.57,354
1020,STANDARD,Chicopee,40,Hampden County,America/New_York,,US,42.17,-72.57,25790
1021,PO BOX,Chicopee,40,Hampden County,America/New_York,,US,42.17,-72.57,566
1022,STANDARD,Chicopee,40,Hampden County,America/New_York,,US,42.2,-72.54,1780
1026,STANDARD,Cummington,40,Hampshire County,America/New_York,,US,42.46,-72.9,890
1027,STANDARD,Easthampton,40,Hampshire County,America/New_York,,US,42.26,-72.68,16320
1028,STANDARD,East Longmeadow,40,Hampden County,America/New_York,,US,42.06,-72.51,15330
1029,PO BOX,East Otis,40,Berkshire County,America/New_York,,US,42.17,-73.03,557
1030,STANDARD,Feeding Hills,40,Hampden County,America/New_York,,US,42.06,-72.67,11010
1031,STANDARD,Gilbertville,40,Worcester County,America/New_York,,US,42.33,-72.2,1000
1032,STANDARD,Goshen,40,Hampshire County,America/New_York,,US,42.46,-72.81,470
1033,STANDARD,Granby,40,Hampshire County,America/New_York,,US,42.26,-72.52,5890
1034,STANDARD,Granville,40,Hampden County,America/New_York,,US,42.06,-72.86,1860
1035,STANDARD,Hadley,40,Hampshire County,America/New_York,,US,42.35,-72.58,4620
1036,STANDARD,Hampden,40,Hampden County,America/New_York,,US,42.06,-72.41,4880
1037,PO BOX,Hardwick,40,Worcester County,America/New_York,,US,42.35,-72.2,779
1038,STANDARD,Hatfield,40,Hampshire County,America/New_York,,US,42.37,-72.6,2280
1039,STANDARD,Haydenville,40,Hampshire County,America/New_York,,US,42.39,-72.7,1240
1040,STANDARD,Holyoke,40,Hampden County,America/New_York,,US,42.21,-72.64,29750
1041,PO BOX,Holyoke,40,Hampden County,America/New_York,,US,42.21,-72.64,1408
1050,STANDARD,Huntington,40,Hampshire County,America/New_York,,US,42.23,-72.88,2270
1053,STANDARD,Leeds,40,Hampshire County,America/New_York,,US,42.35,-72.71,1520
1054,STANDARD,Leverett,40,Franklin County,America/New_York,,US,42.45,-72.5,1750
1056,STANDARD,Ludlow,40,Hampden County,America/New_York,,US,42.16,-72.48,18130
1057,STANDARD,Monson,40,Hampden County,America/New_York,,US,42.09,-72.31,7600
1059,PO BOX,North Amherst,40,Hampshire County,America/New_York,,US,42.4,-72.52,70
1060,STANDARD,Northampton,40,Hampshire County,America/New_York,,US,42.32,-72.63,11260
1061,PO BOX,Northampton,40,Hampshire County,America/New_York,,US,42.32,-72.67,469
1062,STANDARD,Florence,40,Hampshire County,America/New_York,,US,42.32,-72.67,10090
1063,UNIQUE,Northampton,40,Hampshire County,America/New_York,,US,42.32,-72.64,177
1066,PO BOX,North Hatfield,40,Hampshire County,America/New_York,,US,42.41,-72.66,402
1068,STANDARD,Oakham,40,Worcester County,America/New_York,,US,42.35,-72.05,1790
1069,STANDARD,Palmer,40,Hampden County,America/New_York,,US,42.16,-72.32,7190
1070,STANDARD,Plainfield,40,Hampshire County,America/New_York,,US,42.51,-72.91,540
1071,STANDARD,Russell,40,Hampden County,America/New_York,,US,42.18,-72.85,1390
1072,STANDARD,Shutesbury,40,Franklin County,America/New_York,,US,42.45,-72.4,1350
1073,STANDARD,Southampton,40,Hampshire County,America/New_York,,US,42.23,-72.73,5980
1074,PO BOX,South Barre,40,Worcester County,America/New_York,,US,42.39,-72.09,655
1075,STANDARD,South Hadley,40,Hampshire County,America/New_York,,US,42.26,-72.56,14590
1077,STANDARD,Southwick,40,Hampden County,America/New_York,,US,42.05,-72.76,8820
1079,PO BOX,Thorndike,40,Hampden County,America/New_York,,US,42.2,-72.33,992
1080,STANDARD,Three Rivers,40,Hampden County,America/New_York,,US,42.18,-72.37,2000
1081,STANDARD,Wales,40,Hampden County,America/New_York,,US,42.06,-72.21,1490
1082,STANDARD,Ware,40,Hampshire County,America/New_York,,US,42.25,-72.24,8840
1083,PO BOX,Warren,40,Worcester County,America/New_York,,US,42.21,-72.19,3037
1084,STANDARD,West Chesterfield,40,Hampshire County,America/New_York,,US,42.39,-72.88,137
1085,STANDARD,Westfield,40,Hampden County,America/New_York,,US,42.13,-72.75,34780
1086,PO BOX,Westfield,40,Hampden County,America/New_York,,US,42.13,-72.79,886
1088,STANDARD,West Hatfield,40,Hampshire County,America/New_York,,US,42.39,-72.64,490
1089,STANDARD,West Springfield,40,Hampden County,America/New_York,,US,42.12,-72.65,25520
1090,PO BOX,West Springfield,40,Hampden County,America/New_York,,US,42.12,-72.65,510
1092,PO BOX,West Warren,40,Worcester County,America/New_York,,US,42.19,-72.24,1332
1093,PO BOX,Whately,40,Franklin County,America/New_York,,US,42.44,-72.65,516
1094,PO BOX,Wheelwright,40,Worcester County,America/New_York,,US,42.35,-72.14,340
1095,STANDARD,Wilbraham,40,Hampden County,America/New_York,,US,42.13,-72.43,13840
1096,STANDARD,Williamsburg,40,Hampshire County,America/New_York,,US,42.4,-72.76,2310
1097,PO BOX,Woronoco,40,Hampden County,America/New_York,,US,42.18,-72.83,88
1098,STANDARD,Worthington,40,Hampshire County,America/New_York,,US,42.41,-72.93,1060
1101,PO BOX,Springfield,40,Hampden County,America/New_York,,US,42.11,-72.53,2038
1102,PO BOX,Springfield,40,Hampden County,America/New_York,,US,42.11,-72.53,0
1103,STANDARD,Springfield,40,Hampden County,America/New_York,,US,42.1,-72.59,1580
1104,STANDARD,Springfield,40,Hampden County,America/New_York,,US,42.13,-72.57,19290
1105,STANDARD,Springfield,40,Hampden County,America/New_York,,US,42.1,-72.58,8040
1106,STANDARD,Longmeadow,40,Hampden County,America/New_York,,US,42.04,-72.57,15400
1107,STANDARD,Springfield,40,Hampden County,America/New_York,,US,42.12,-72.61,8420
1108,STANDARD,Springfield,40,Hampden County,America/New_York,,US,42.08,-72.56,21860
1109,STANDARD,Springfield,40,Hampden County,America/New_York,,US,42.11,-72.53,21920
1111,UNIQUE,Springfield,40,Hampden County,America/New_York,,US,42.11,-72.53,0
1115,PO BOX,Springfield,40,Hampden County,America/New_York,,US,42.11,-72.53,25
1116,PO BOX,Longmeadow,40,Hampden County,America/New_York,,US,42.04,-72.57,82
1118,STANDARD,Springfield,40,Hampden County,America/New_York,,US,42.09,-72.53,12820
1119,STANDARD,Springfield,40,Hampden County,America/New_York,,US,42.12,-72.51,11040
1128,STANDARD,Springfield,40,Hampden County,America/New_York,,US,42.09,-72.49,2610
1129,STANDARD,Springfield,40,Hampden County,America/New_York,,US,42.12,-72.49,6540
1133,UNIQUE,Springfield,40,Hampden County,America/New_York,,US,42.1,-72.59,0
1138,PO BOX,Springfield,40,Hampden County,America/New_York,,US,42.11,-72.53,688
1139,PO BOX,Springfield,40,Hampden County,America/New_York,,US,42.11,-72.53,467
1144,STANDARD,Springfield,40,Hampden County,America/New_York,,US,42.11,-72.53,0
1151,STANDARD,Indian Orchard,40,Hampden County,America/New_York,,US,42.15,-72.51,7630
1152,STANDARD,Springfield,40,Hampden County,America/New_York,,US,42.11,-72.53,0
1195,STANDARD,Springfield,40,Hampden County,America/New_York,,US,42.1,-72.58,0
1199,UNIQUE,Springfield,40,Hampden County,America/New_York,,US,42.12,-72.6,0
1201,STANDARD,Pittsfield,40,Berkshire County,America/New_York,,US,42.45,-73.26,38200
1202,PO BOX,Pittsfield,40,Berkshire County,America/New_York,,US,42.45,-73.26,1387
1203,PO BOX,Pittsfield,40,Berkshire County,America/New_York,,US,42.45,-73.26,0
1220,STANDARD,Adams,40,Berkshire County,America/New_York,,US,42.62,-73.11,7260
1222,STANDARD,Ashley Falls,40,Berkshire County,America/New_York,,US,42.05,-73.33,730
1223,STANDARD,Becket,40,Berkshire County,America/New_York,,US,42.33,-73.07,1930
1224,STANDARD,Berkshire,40,Berkshire County,America/New_York,,US,42.51,-73.2,160
1225,STANDARD,Cheshire,40,Berkshire County,America/New_York,,US,42.55,-73.15,2970
1226,STANDARD,Dalton,40,Berkshire County,America/New_York,,US,42.47,-73.16,5910
1227,PO BOX,Dalton,40,Berkshire County,America/New_York,,US,42.47,-73.16,262
1229,PO BOX,Glendale,40,Berkshire County,America/New_York,,US,42.28,-73.34,163
1230,STANDARD,Great Barrington,40,Berkshire County,America/New_York,,US,42.19,-73.35,6260
